task_id,stage,stage_name,area,goal,dependency,allowed_paths,primary_file_target,api_interface
NP-018,S1,Core IPC,request-router,IPC request routing,NP-017,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-019,S1,Core IPC,events,Server event stream,NP-018,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-020,S1,Core IPC,errors,IPC error mapping,NP-019,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-021,S1,Core IPC,timeouts,IPC timeout and cancellation,NP-020,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-022,S1,Core IPC,auth,Local IPC authorization boundary,NP-021,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-023,S1,Core IPC,versioning,IPC compatibility/version negotiation,NP-022,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-024,S1,Core IPC,health,Core health/readiness endpoint,NP-023,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-025,S2,Config Proxy,schema,Canonical configuration schema,NP-024,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-026,S2,Config Proxy,loader,YAML/JSON loading,NP-025,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-027,S2,Config Proxy,normalizer,Config normalization,NP-026,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-028,S2,Config Proxy,validation,Semantic validation,NP-027,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-029,S2,Config Proxy,migration,Versioned config migration,NP-028,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-030,S2,Config Proxy,proxy-model,Unified proxy profile model,NP-029,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-031,S2,Config Proxy,groups,Proxy group model and selection,NP-030,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-032,S2,Config Proxy,health,Proxy health checking,NP-031,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-033,S2,Config Proxy,lifecycle,Proxy lifecycle manager,NP-032,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-034,S2,Config Proxy,endpoint-policy,Endpoint/credential validation,NP-033,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-035,S2,Config Proxy,secrets,Secret storage and redaction boundary,NP-034,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-036,S2,Config Proxy,runtime-apply,Atomic runtime config apply,NP-035,"crates/config/, crates/proxy/, docs/",crates/config/src/lib.rs; crates/proxy/src/lib.rs,"ConfigDocument, NormalizedConfig, ProxyProfile, ProxyGroup, ProxyLifecycle"
NP-037,S3,Rules,model,Rule domain model,NP-036,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-038,S3,Rules,parser,Rule parser,NP-037,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-039,S3,Rules,domain-match,Domain matching,NP-038,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-040,S3,Rules,ip-match,IP/CIDR matching,NP-039,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-041,S3,Rules,port-match,Port/protocol matching,NP-040,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-042,S3,Rules,process-hook,Process condition hooks,NP-041,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-043,S3,Rules,priority,Deterministic rule priority,NP-042,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-044,S3,Rules,actions,Rule actions and targets,NP-043,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-045,S3,Rules,routing-engine,Routing decision engine,NP-044,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-046,S3,Rules,explain,Route explanation,NP-045,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-047,S3,Rules,performance,Rule indexing and performance,NP-046,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-048,S3,Rules,testkit,Rule fixtures and conformance tests,NP-047,"crates/rules/, crates/routing/, docs/",crates/rules/src/lib.rs; crates/routing/src/lib.rs,"Rule, RuleMatcher, RouteDecision, RouteExplanation, RuleIndex"
NP-049,S4,UI,shell,WinUI application shell,NP-048,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-050,S4,UI,navigation,Navigation and page model,NP-049,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-051,S4,UI,runtime-state,Runtime state binding,NP-050,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-052,S4,UI,proxy-list,Proxy node/group UI,NP-051,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-053,S4,UI,rule-list,Rule list UI,NP-052,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-054,S4,UI,connection-list,Connection inspector list,NP-053,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-055,S4,UI,connection-detail,Connection detail panel,NP-054,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-056,S4,UI,settings,Settings UI,NP-055,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-057,S4,UI,diagnostics,Diagnostics UI,NP-056,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-058,S4,UI,errors,User-facing error model,NP-057,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-059,S4,UI,ipc-service,UI IPC service abstraction,NP-058,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-060,S4,UI,smoke,Desktop smoke test baseline,NP-059,"apps/desktop/, crates/ipc/, docs/",apps/desktop/App.xaml; apps/desktop/MainWindow.xaml(.cs); crates/ipc/src/lib.rs,WinUI shell/pages/view-models and IpcService
NP-061,S5,TUN,abstraction,TUN provider abstraction,NP-060,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-062,S5,TUN,wintun-spike,Wintun feasibility spike,NP-061,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-063,S5,TUN,device-lifecycle,TUN device lifecycle,NP-062,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-064,S5,TUN,ip-config,Virtual interface IP configuration,NP-063,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-065,S5,TUN,route-policy,Route installation/removal policy,NP-064,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-066,S5,TUN,ingress,Packet ingress pipeline,NP-065,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-067,S5,TUN,egress,Packet egress pipeline,NP-066,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-068,S5,TUN,tcp-intercept,TCP interception path,NP-067,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-069,S5,TUN,udp-intercept,UDP interception path,NP-068,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-070,S5,TUN,bypass,Local/bypass traffic policy,NP-069,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-071,S5,TUN,rollback,Safe rollback and cleanup,NP-070,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-072,S5,TUN,windows-e2e,Windows TUN E2E harness,NP-071,"crates/tun/, docs/",crates/tun/src/lib.rs,"TunProvider, TunDevice, PacketIngress/Egress, RouteManager"
NP-073,S6,DNS,abstraction,DNS resolver abstraction,NP-072,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-074,S6,DNS,system,Windows system resolver integration,NP-073,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-075,S6,DNS,udp,UDP DNS transport,NP-074,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-076,S6,DNS,tcp,TCP DNS transport,NP-075,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-077,S6,DNS,tls,DNS-over-TLS,NP-076,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-078,S6,DNS,https,DNS-over-HTTPS,NP-077,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-079,S6,DNS,cache,Resolver cache,NP-078,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-080,S6,DNS,fakeip,Fake-IP model and allocator,NP-079,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-081,S6,DNS,routing,DNS routing policy,NP-080,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-082,S6,DNS,leak-prevention,DNS leak prevention,NP-081,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-083,S6,DNS,observability,DNS metrics and diagnostics,NP-082,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-084,S6,DNS,testkit,DNS conformance fixtures,NP-083,"crates/dns/, docs/",crates/dns/src/lib.rs,"DnsResolver, DnsTransport, DnsCache, FakeIpAllocator, DnsPolicy"
NP-085,S7,Process RuleSet,discovery,Windows process discovery,NP-084,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-086,S7,Process RuleSet,identity,Stable process identity model,NP-085,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-087,S7,Process RuleSet,path,Executable path attribution,NP-086,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-088,S7,Process RuleSet,pid,PID lifecycle handling,NP-087,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-089,S7,Process RuleSet,rule-match,Process-aware rule matching,NP-088,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-090,S7,Process RuleSet,ruleset-model,RuleSet model,NP-089,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-091,S7,Process RuleSet,loader,RuleSet loader,NP-090,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-092,S7,Process RuleSet,subscription,Remote subscription lifecycle,NP-091,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-093,S7,Process RuleSet,cache,RuleSet cache and freshness,NP-092,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-094,S7,Process RuleSet,signature,Integrity/signature verification,NP-093,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-095,S7,Process RuleSet,update,Atomic RuleSet update,NP-094,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-096,S7,Process RuleSet,e2e,Process/RuleSet integration tests,NP-095,"crates/process/, crates/rules/, docs/",crates/process/src/lib.rs; crates/rules/src/lib.rs,"ProcessIdentity, ProcessResolver, RuleSet, Subscription, RuleSetUpdater"
NP-097,S8,Inspector Script,connection-model,Connection event model,NP-096,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-098,S8,Inspector Script,manager,Connection manager,NP-097,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-099,S8,Inspector Script,metadata,Metadata extraction,NP-098,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-100,S8,Inspector Script,lifecycle,Connection lifecycle tracking,NP-099,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-101,S8,Inspector Script,log,Structured connection logging,NP-100,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-102,S8,Inspector Script,inspector-contract,Inspector API contract,NP-101,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-103,S8,Inspector Script,probes,Network diagnostics probes,NP-102,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-104,S8,Inspector Script,report,Diagnostics report model,NP-103,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-105,S8,Inspector Script,script-api,Script/module API boundary,NP-104,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-106,S8,Inspector Script,sandbox,Script sandboxing model,NP-105,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-107,S8,Inspector Script,limits,Script resource limits,NP-106,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-108,S8,Inspector Script,tests,Inspector and script testkit,NP-107,"crates/diagnostics/, crates/core/, docs/",crates/diagnostics/src/lib.rs; crates/core/src/lib.rs,"Connection, ConnectionManager, DiagnosticsProbe, ScriptHost, ScriptLimits"
NP-109,S9,Protocols,abstractions,Protocol and transport abstractions,NP-108,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
NP-110,S9,Protocols,capabilities,"Capability, endpoint and credential models",NP-109,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
NP-111,S9,Protocols,parsers,Protocol URI and subscription parsers,NP-110,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
NP-112,S9,Protocols,adapter-manager,Adapter manager and lifecycle,NP-111,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
NP-113,S9,Protocols,http-socks5,HTTP/HTTPS and SOCKS5 adapters,NP-112,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
NP-114,S9,Protocols,shadowsocks,Shadowsocks and UDP support,NP-113,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
NP-115,S9,Protocols,shadowsocks-2022,Shadowsocks 2022 compatibility,NP-114,"crates/protocols/, crates/transports/, crates/proxy/, docs/",crates/protocols/*/src/lib.rs; crates/transports/*/src/lib.rs; crates/proxy/src/lib.rs,"ProxyProtocol, Transport, Capabilities, ProtocolUri, SubscriptionParser, AdapterManager"
